Category,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14
"Total first-time, first-year men who applied",3201,3864,3609,4006,3812,3930,4309,4457,4653,4753,4928,5150
"Total first-time, first-year women who applied",5710,6297,5998,6604,6910,6923,7327,7652,7884,8072,8732,8896
"Total first-time, first-year men who were admitted",1365,1604,1535,1596,1671,1713,1859,1993,1834,2081,2005,2101
"Total first-time, first-year women who were admitted",1724,1884,1831,1696,1797,1942,2107,2065,2144,2362,2389,2564
"Total full-time, first-time, first-year men who enrolled",595,588,655,626,649,616,605,662,606,658,663,652
"Total part-time, first-time, first-year men who enrolled",1,0,1,2,3,1,0,3,1,0,1,0
"Total full-time, first-time, first-year women who enrolled",722,737,684,714,695,729,781,729,791,827,802,827
"Total part-time, first-time, first-year women who enrolled",2,1,1,2,2,0,1,1,0,0,1,0
Number of qualified applicants placed on waiting list,1854,1534,1265,1812,2249,2402,2921,2748,3654,3248,3518,3196
Number accepting a place on the waiting list,1278,736,595,859,1119,1101,1368,1273,1446,1496,1533,1474
Number of wait-listed students admitted,42,9,20,113,14,62,159,17,242,18,147,96
