Year1,variable,Number of Students,Year
2002,Total.first.time..first.year.men.who.applied,3201,2002
2003,Total.first.time..first.year.men.who.applied,3864,2003
2004,Total.first.time..first.year.men.who.applied,3609,2004
2005,Total.first.time..first.year.men.who.applied,4006,2005
2006,Total.first.time..first.year.men.who.applied,3812,2006
2007,Total.first.time..first.year.men.who.applied,3930,2007
2008,Total.first.time..first.year.men.who.applied,4309,2008
2009,Total.first.time..first.year.men.who.applied,4457,2009
2010,Total.first.time..first.year.men.who.applied,4653,2010
2011,Total.first.time..first.year.men.who.applied,4753,2011
2012,Total.first.time..first.year.men.who.applied,4928,2012
2013,Total.first.time..first.year.men.who.applied,5150,2013
2002,Total.first.time..first.year.women.who.applied,5710,2002
2003,Total.first.time..first.year.women.who.applied,6297,2003
2004,Total.first.time..first.year.women.who.applied,5998,2004
2005,Total.first.time..first.year.women.who.applied,6604,2005
2006,Total.first.time..first.year.women.who.applied,6910,2006
2007,Total.first.time..first.year.women.who.applied,6923,2007
2008,Total.first.time..first.year.women.who.applied,7327,2008
2009,Total.first.time..first.year.women.who.applied,7652,2009
2010,Total.first.time..first.year.women.who.applied,7884,2010
2011,Total.first.time..first.year.women.who.applied,8072,2011
2012,Total.first.time..first.year.women.who.applied,8732,2012
2013,Total.first.time..first.year.women.who.applied,8896,2013
2002,Total.first.time..first.year.men.who.were.admitted,1365,2002
2003,Total.first.time..first.year.men.who.were.admitted,1604,2003
2004,Total.first.time..first.year.men.who.were.admitted,1535,2004
2005,Total.first.time..first.year.men.who.were.admitted,1596,2005
2006,Total.first.time..first.year.men.who.were.admitted,1671,2006
2007,Total.first.time..first.year.men.who.were.admitted,1713,2007
2008,Total.first.time..first.year.men.who.were.admitted,1859,2008
2009,Total.first.time..first.year.men.who.were.admitted,1993,2009
2010,Total.first.time..first.year.men.who.were.admitted,1834,2010
2011,Total.first.time..first.year.men.who.were.admitted,2081,2011
2012,Total.first.time..first.year.men.who.were.admitted,2005,2012
2013,Total.first.time..first.year.men.who.were.admitted,2101,2013
2002,Total.first.time..first.year.women.who.were.admitted,1724,2002
2003,Total.first.time..first.year.women.who.were.admitted,1884,2003
2004,Total.first.time..first.year.women.who.were.admitted,1831,2004
2005,Total.first.time..first.year.women.who.were.admitted,1696,2005
2006,Total.first.time..first.year.women.who.were.admitted,1797,2006
2007,Total.first.time..first.year.women.who.were.admitted,1942,2007
2008,Total.first.time..first.year.women.who.were.admitted,2107,2008
2009,Total.first.time..first.year.women.who.were.admitted,2065,2009
2010,Total.first.time..first.year.women.who.were.admitted,2144,2010
2011,Total.first.time..first.year.women.who.were.admitted,2362,2011
2012,Total.first.time..first.year.women.who.were.admitted,2389,2012
2013,Total.first.time..first.year.women.who.were.admitted,2564,2013
2002,Total.full.time..first.time..first.year.men.who.enrolled,595,2002
2003,Total.full.time..first.time..first.year.men.who.enrolled,588,2003
2004,Total.full.time..first.time..first.year.men.who.enrolled,655,2004
2005,Total.full.time..first.time..first.year.men.who.enrolled,626,2005
2006,Total.full.time..first.time..first.year.men.who.enrolled,649,2006
2007,Total.full.time..first.time..first.year.men.who.enrolled,616,2007
2008,Total.full.time..first.time..first.year.men.who.enrolled,605,2008
2009,Total.full.time..first.time..first.year.men.who.enrolled,662,2009
2010,Total.full.time..first.time..first.year.men.who.enrolled,606,2010
2011,Total.full.time..first.time..first.year.men.who.enrolled,658,2011
2012,Total.full.time..first.time..first.year.men.who.enrolled,663,2012
2013,Total.full.time..first.time..first.year.men.who.enrolled,652,2013
2002,Total.part.time..first.time..first.year.men.who.enrolled,1,2002
2003,Total.part.time..first.time..first.year.men.who.enrolled,0,2003
2004,Total.part.time..first.time..first.year.men.who.enrolled,1,2004
2005,Total.part.time..first.time..first.year.men.who.enrolled,2,2005
2006,Total.part.time..first.time..first.year.men.who.enrolled,3,2006
2007,Total.part.time..first.time..first.year.men.who.enrolled,1,2007
2008,Total.part.time..first.time..first.year.men.who.enrolled,0,2008
2009,Total.part.time..first.time..first.year.men.who.enrolled,3,2009
2010,Total.part.time..first.time..first.year.men.who.enrolled,1,2010
2011,Total.part.time..first.time..first.year.men.who.enrolled,0,2011
2012,Total.part.time..first.time..first.year.men.who.enrolled,1,2012
2013,Total.part.time..first.time..first.year.men.who.enrolled,0,2013
2002,Total.full.time..first.time..first.year.women.who.enrolled,722,2002
2003,Total.full.time..first.time..first.year.women.who.enrolled,737,2003
2004,Total.full.time..first.time..first.year.women.who.enrolled,684,2004
2005,Total.full.time..first.time..first.year.women.who.enrolled,714,2005
2006,Total.full.time..first.time..first.year.women.who.enrolled,695,2006
2007,Total.full.time..first.time..first.year.women.who.enrolled,729,2007
2008,Total.full.time..first.time..first.year.women.who.enrolled,781,2008
2009,Total.full.time..first.time..first.year.women.who.enrolled,729,2009
2010,Total.full.time..first.time..first.year.women.who.enrolled,791,2010
2011,Total.full.time..first.time..first.year.women.who.enrolled,827,2011
2012,Total.full.time..first.time..first.year.women.who.enrolled,802,2012
2013,Total.full.time..first.time..first.year.women.who.enrolled,827,2013
2002,Total.part.time..first.time..first.year.women.who.enrolled,2,2002
2003,Total.part.time..first.time..first.year.women.who.enrolled,1,2003
2004,Total.part.time..first.time..first.year.women.who.enrolled,1,2004
2005,Total.part.time..first.time..first.year.women.who.enrolled,2,2005
2006,Total.part.time..first.time..first.year.women.who.enrolled,2,2006
2007,Total.part.time..first.time..first.year.women.who.enrolled,0,2007
2008,Total.part.time..first.time..first.year.women.who.enrolled,1,2008
2009,Total.part.time..first.time..first.year.women.who.enrolled,1,2009
2010,Total.part.time..first.time..first.year.women.who.enrolled,0,2010
2011,Total.part.time..first.time..first.year.women.who.enrolled,0,2011
2012,Total.part.time..first.time..first.year.women.who.enrolled,1,2012
2013,Total.part.time..first.time..first.year.women.who.enrolled,0,2013
2002,Number.of.qualified.applicants.placed.on.waiting.list,1854,2002
2003,Number.of.qualified.applicants.placed.on.waiting.list,1534,2003
2004,Number.of.qualified.applicants.placed.on.waiting.list,1265,2004
2005,Number.of.qualified.applicants.placed.on.waiting.list,1812,2005
2006,Number.of.qualified.applicants.placed.on.waiting.list,2249,2006
2007,Number.of.qualified.applicants.placed.on.waiting.list,2402,2007
2008,Number.of.qualified.applicants.placed.on.waiting.list,2921,2008
2009,Number.of.qualified.applicants.placed.on.waiting.list,2748,2009
2010,Number.of.qualified.applicants.placed.on.waiting.list,3654,2010
2011,Number.of.qualified.applicants.placed.on.waiting.list,3248,2011
2012,Number.of.qualified.applicants.placed.on.waiting.list,3518,2012
2013,Number.of.qualified.applicants.placed.on.waiting.list,3196,2013
2002,Number.accepting.a.place.on.the.waiting.list,1278,2002
2003,Number.accepting.a.place.on.the.waiting.list,736,2003
2004,Number.accepting.a.place.on.the.waiting.list,595,2004
2005,Number.accepting.a.place.on.the.waiting.list,859,2005
2006,Number.accepting.a.place.on.the.waiting.list,1119,2006
2007,Number.accepting.a.place.on.the.waiting.list,1101,2007
2008,Number.accepting.a.place.on.the.waiting.list,1368,2008
2009,Number.accepting.a.place.on.the.waiting.list,1273,2009
2010,Number.accepting.a.place.on.the.waiting.list,1446,2010
2011,Number.accepting.a.place.on.the.waiting.list,1496,2011
2012,Number.accepting.a.place.on.the.waiting.list,1533,2012
2013,Number.accepting.a.place.on.the.waiting.list,1474,2013
2002,Number.of.wait.listed.students.admitted,42,2002
2003,Number.of.wait.listed.students.admitted,9,2003
2004,Number.of.wait.listed.students.admitted,20,2004
2005,Number.of.wait.listed.students.admitted,113,2005
2006,Number.of.wait.listed.students.admitted,14,2006
2007,Number.of.wait.listed.students.admitted,62,2007
2008,Number.of.wait.listed.students.admitted,159,2008
2009,Number.of.wait.listed.students.admitted,17,2009
2010,Number.of.wait.listed.students.admitted,242,2010
2011,Number.of.wait.listed.students.admitted,18,2011
2012,Number.of.wait.listed.students.admitted,147,2012
2013,Number.of.wait.listed.students.admitted,96,2013
