Groups,Parent,Number
Alpha Epsilon Pi,Fraternities,18
Alpha Phi Alpha,Fraternities,3
Alpha Tau Omega,Fraternities,0
Beta Theta Pi,Fraternities,34
Chi Phi,Fraternities,0
Delta Chi,Fraternities,30
Delta Phi,Fraternities,39
Kappa Alpha,Fraternities,50
Kappa Alpha Psi,Fraternities,0
Kappa Delta Rho,Fraternities,46
Kappa Sigma,Fraternities,21
Lambda Chi Alpha,Fraternities,46
Omega Psi Phi,Fraternities,0
Phi Beta Sigma,Fraternities,0
Phi Kappa Tau,Fraternities,56
Pi Kappa Alpha,Fraternities,46
Psi Upsilon,Fraternities,27
Sigma Alpha Epsilon,Fraternities,0
Sigma Chi,Fraternities,76
Sigma Phi Epsilon,Fraternities,0
Sigma Pi,Fraternities,59
Theta Delta Chi,Fraternities,34
Alpha Chi Omga,Sororities,82
Alpha Kappa Alpha,Sororities,13
Chi Omega,Sororities,86
Delta Delta Delta,Sororities,80
Delta Gamma,Sororities,67
Delta Sigma Theta,Sororities,16
Gamma Phi Beta,Sororities,86
Kappa Alpha Theta,Sororities,88
Kappa Delta,Sororities,89
Kappa Kappa Gamma,Sororities,85
Phi Mu,Sororities,68
Pi Beta Phi,Sororities,85
Sigma Gamma Rho,Sororities,0
Sigma Iota Alpha,Sororities,0
Zeta Phi Beta,Sororities,0
Individuals,Indie,5000
