Group,Parent,Number,Color
Alpha Epsilon Pi,Fraternities,18,
Alpha Phi Alpha,Fraternities,3,
Alpha Tau Omega,Fraternities,,
Beta Theta Pi,Fraternities,34,
Chi Phi,Fraternities,,
Delta Chi,Fraternities,30,
Delta Phi,Fraternities,39,
Kappa Alpha,Fraternities,50,
Kappa Alpha Psi,Fraternities,,
Kappa Delta Rho,Fraternities,46,
Kappa Sigma,Fraternities,21,
Lambda Chi Alpha,Fraternities,46,
Omega Psi Phi,Fraternities,,
Phi Beta Sigma,Fraternities,,
Phi Kappa Tau,Fraternities,56,
Pi Kappa Alpha,Fraternities,46,
Psi Upsilon,Fraternities,27,
Sigma Alpha Epsilon,Fraternities,,
Sigma Chi,Fraternities,76,
Sigma Phi Epsilon,Fraternities,,
Sigma Pi,Fraternities,59,
Theta Delta Chi,Fraternities,34,
Alpha Chi Omga,Sororities,82,
Alpha Kappa Alpha,Sororities,13,
Chi Omega,Sororities,86,
Delta Delta Delta,Sororities,80,
Delta Gamma,Sororities,67,
Delta Sigma Theta,Sororities,16,
Gamma Phi Beta,Sororities,86,
Kappa Alpha Theta,Sororities,88,
Kappa Delta,Sororities,89,
Kappa Kappa Gamma,Sororities,85,
Phi Mu,Sororities,68,
Pi Beta Phi,Sororities,85,
Sigma Gamma Rho,Sororities,,
Sigma Iota Alpha,Sororities,,
Zeta Phi Beta,Sororities,,
Independent,Indie,3000,
