Fraternities,Spring 2005,Fall 2005,Spring 2006,Fall 2006,Spring 2007,Fall 2007,Spring 2008,Fall 2008,Spring 2009,Fall 2009,Spring 2010,Fall 2010,Spring 2011,Fall 2011,Spring 2012,Fall 2012,Spring 2013,Fall 2013,Spring 2014
Alpha Epsilon Pi,18,18,19,24,23,24,24,29,28,28,25,23,19,22,23,22,20,22,21
Alpha Phi Alpha,3,3,3,4,8,4,7,5,6,5,4,6,6,5,10,6,9,5,6
Alpha Tau Omega,,,,10,16,17,20,36,38,31,34,33,42,50,49,52,52,43,49
Beta Theta Pi,34,39,45,49,51,56,63,53,67,66,62,62,72,71,73,72,75,84,88
Chi Phi,,,,,14,19,22,22,26,18,25,21,20,11,11,14,15,14,16
Delta Chi,30,14,15,15,11,12,18,29,32,36,31,40,44,46,51,57,68,66,64
Delta Phi,39,27,35,30,38,30,40,31,37,25,38,29,34,39,47,35,44,43,45
Kappa Alpha,50,35,38,39,43,40,45,52,49,40,42,35,40,37,47,47,46,41,44
Kappa Alpha Psi,,,,,,,,,,,,,,6,5,10,11,11,9
Kappa Delta Rho,46,43,49,52,48,47,55,48,49,46,53,52,60,66,66,67,70,71,78
Kappa Sigma,21,37,42,51,51,51,57,66,59,58,67,67,67,47,58,58,63,61,62
Lambda Chi Alpha,46,50,62,50,49,51,49,39,53,42,42,47,40,48,49,44,,,
Omega Psi Phi,,,,,,,,,,,,6,5,3,1,1,,,4
Phi Beta Sigma,,,,,,,10,7,7,3,4,1,1,2,,,,,
Phi Kappa Tau,56,56,59,56,57,56,57,42,48,29,39,47,44,41,,,,,
Pi Kappa Alpha,46,51,46,39,42,44,45,43,40,43,47,44,48,45,52,59,35,40,50
Psi Upsilon,27,28,,,,,,,,,,,,,,,,,
Sigma Alpha Epsilon,,,,,,,,5,4,5,7,11,15,17,25,25,27,27,31
Sigma Chi,76,54,50,63,68,56,54,52,50,61,63,61,59,67,76,73,79,71,46
Sigma Phi Epsilon,,,,,,,,,,,,8,10,12,14,19,23,33,38
Sigma Pi,59,55,54,52,47,47,48,50,32,29,31,34,32,36,34,33,42,46,51
Theta Delta Chi,34,36,47,50,54,37,40,42,41,32,36,19,18,13,11,,,,
