Fraternities,Spring 2005,Fall 2005,Spring 2006,Fall 2006,Spring 2007,Fall 2007,Spring 2008,Fall 2008,Spring 2009,Fall 2009,Spring 2010,Fall 2010,Spring 2011,Fall 2011,Spring 2012,Fall 2012,Spring 2013,Fall 2013,Spring 2014
Alpha Epsilon Pi,1,1,1,3,6,4,3,1,1,4,2,4,11,1,2,5,9,1,2
Alpha Phi Alpha,15,9,13,15,16,15,15,14,12,8,1,9,6,16,18,15,15,15,17
Alpha Tau Omega,,,,1,14,11,12,3,5,2,4,1,2,7,8,3,1,2,3
Beta Theta Pi,4,3,3,4,2,1,2,2,2,5,7,6,4,5,1,1,5,6,5
Chi Phi,,,,,3,7,7,4,3,1,11,19,14,12,17,7,13,14,7
Delta Chi,6,5,5,2,1,14,5,9,8,10,10,14,16,8,5,12,11,5,10
Delta Phi,7,7,4,6,13,2,8,6,6,3,8,3,3,6,6,8,6,11,9
Kappa Alpha,2,10,9,9,5,9,6,8,9,7,6,12,8,17,12,13,10,13,13
Kappa Alpha Psi,,,,,,,,,,,,,,10,16,17,16,16,16
Kappa Delta Rho,9,13,6,11,12,8,9,13,13,13,15,10,10,18,11,11,3,4,6
Kappa Sigma,11,8,6,8,11,5,4,12,4,9,9,5,5,3,4,9,8,8,8
Lambda Chi Alpha,12,10,13,13,7,6,10,11,11,15,16,15,12,19,13,14,,,
Omega Psi Phi,,,,,,,,,,,,20,20,21,,,,,15
Phi Beta Sigma,,,,,,,17,18,15,18,18,13,19,4,,,,,
Phi Kappa Tau,8,4,8,7,4,3,1,7,7,12,5,7,7,11,,,,,
Pi Kappa Alpha,14,10,11,14,10,16,16,17,17,16,17,17,17,20,15,16,14,12,12
Psi Upsilon,3,6,,,,,,,,,,,,,,,,,
Sigma Alpha Epsilon,,,,,,,,16,18,17,14,11,15,13,7,2,12,10,14
Sigma Chi,10,15,12,10,15,13,13,5,10,11,13,8,9,9,9,10,7,9,1
Sigma Phi Epsilon,,,,,,,,,,,,2,1,2,3,4,4,3,10
Sigma Pi,12,14,10,12,9,12,14,15,16,14,3,16,13,14,10,6,2,7,4
Theta Delta Chi,5,2,2,5,8,10,11,10,14,6,12,18,18,15,14,,,,
