Year,"First-time, first-year (freshman) Men (%)",Men Enrolled (freshman),Men who join a fraternity (Freshman),Men who join a fraternity (%),Men Enrolled (Undergrad),Men who join a fraternity (Undergrad)
1997-1998,,,,30,2238,671
1998-1999,,,,30,2316,695
1999-2000,,,,32,2354,753
2000-2001,14,589,82,30,2399,720
2001-2002,,,,31,2433,754
2002-2003,,,,31,2462,763
2003-2004,,,,33,2515,830
2004-2005,,,,,,
2005-2006,,,,,,
2006-2007,18,673,121,22,2637,580
2007-2008,14,641,90,22,2674,588
2008-2009,18,622,112,25,2652,663
2009-2010,16,680,109,25,2661,665
2010-2011,17,628,107,27,2659,718
2011-2012,15,671,101,26,2704,703
2012-2013,16,676,108,25,2797,699
2013-2014,15,658,99,25,2799,700
