Sororities,Spring 2005,Fall 2005,Spring 2006,Fall 2006,Spring 2007,Fall 2007,Spring 2008,Fall 2008,Spring 2009,Fall 2009,Spring 2010,Fall 2010,Spring 2011,Fall 2011,Spring 2012,Fall 2012,Spring 2013,Fall 2013,Spring 2014
Alpha Chi Omga,7,1,1,2,5,4,1,3,9,9,3,5,4,9,9,9,9,9,9
Alpha Kappa Alpha,11,12,12,11,11,11,12,12,12,,,,,,,11,11,10,10
Chi Omega,3,4,4,8,9,8,10,6,10,8,10,8,4,2,3,4,4,1,5
Delta Delta Delta,8,1,5,9,8,7,4,10,8,1,1,3,8,3,4,3,1,2,5
Delta Gamma,10,8,5,1,2,2,3,6,4,4,6,7,6,6,5,8,7,5,3
Delta Sigma Theta,12,11,11,12,12,12,11,11,11,11,11,11,11,11,11,12,13,,12
Gamma Phi Beta,3,9,3,6,6,4,4,3,4,4,7,3,3,6,8,1,4,2,1
Kappa Alpha Theta,2,5,10,4,2,3,7,2,1,3,7,1,2,8,2,6,4,2,1
Kappa Delta,1,7,1,4,1,4,9,8,2,2,5,6,7,4,5,4,2,5,3
Kappa Kappa Gamma,5,5,9,7,2,1,4,1,3,4,7,1,1,1,1,1,3,7,7
Phi Mu,9,10,5,10,10,10,7,9,6,10,3,10,10,10,10,10,10,,
Pi Beta Phi,5,3,5,3,6,9,2,5,7,7,2,9,9,5,7,6,8,7,7
Sigma Gamma Rho,,,,,,,,,,,,,12,12,11,13,14,12,13
Sigma Iota Alpha,,,,,,,,,,,,,,,,,12,11,11
Zeta Phi Beta,,,,,,,,,,,,,,,,,,,13
