Time,Alpha Chi Omga,Alpha Kappa Alpha,Chi Omega,Delta Delta Delta,Delta Gamma,Delta Sigma Theta,Gamma Phi Beta,Kappa Alpha Theta,Kappa Delta,Kappa Kappa Gamma,Phi Mu,Pi Beta Phi,Sigma Gamma Rho,Sigma Iota Alpha,Zeta Phi Beta
Spring 2005,3.34,2.96,3.32,3.18,3.22,2.85,3.54,3.39,3.44,3.3,3.28,3.25,,,
Fall 2005,3.29,3.07,3.18,3.14,3.26,2.98,3.42,3.33,3.37,3.17,3.3,3.17,,,
Spring 2006,3.38,3.05,3.22,3.24,3.25,3.06,3.42,3.39,3.47,3.45,3.25,3.29,,,
Fall 2006,3.2334,3.0112,3.2008,3.2261,3.2149,2.9633,3.4132,3.3386,3.3257,3.3074,3.2756,3.1458,,,
Spring 2007,3.3901,2.88,3.2824,3.3219,3.3278,2.8258,3.4911,3.4706,3.4644,3.3921,3.207,3.2634,,,
Fall 2007,3.2876,2.9236,3.2244,3.1923,3.2667,2.8455,3.3252,3.3925,3.3481,3.3067,3.2557,3.0692,,,
Spring 2008,3.3275,2.6179,3.2689,3.2837,3.2993,2.617,3.4415,3.4519,3.3745,3.4069,3.3118,3.2265,,,
Fall 2008,3.1951,3.1898,3.2171,3.074,3.2867,2.8609,3.3853,3.3062,3.3259,3.2933,3.199,3.1611,,,
Spring 2009,3.3182,2.6795,3.3215,3.1738,3.4121,3.0026,3.4447,3.3856,3.4062,3.4057,3.2661,3.2934,,,
Fall 2009,3.279,,3.2457,3.1695,3.3675,3.3,3.3512,3.2671,3.3102,3.2337,3.2651,3.1027,,,
Spring 2010,3.3547,,3.3643,3.1419,3.4029,3.2466,3.4095,3.3453,3.3934,3.3214,3.2382,3.1863,,,
Fall 2010,3.2458,,3.2271,3.1534,3.2503,3.3758,3.2573,3.2994,3.3657,3.3198,3.2079,3.19,,,
Spring 2011,3.3037,,3.3244,3.2589,3.3678,2.8439,3.3853,3.404,3.4276,3.3984,3.1233,3.2567,3.3431,,
Fall 2011,3.2964,,3.28,3.3053,3.2434,2.7686,3.2694,3.445,3.3138,3.2835,3.1844,3.2207,3.0303,,
Spring 2012,3.3012,,3.3846,3.4019,3.3836,3.0012,3.3305,3.4716,3.4189,3.3977,3.2461,3.2564,3.1928,,
Fall 2012,3.2049,2.9451,3.2365,3.2688,3.2961,3.2097,3.3035,3.4012,3.3452,3.2323,3.0832,3.2311,3.4071,,
Spring 2013,3.2999,2.992,3.3155,3.4585,3.4161,3.4,3.4244,3.5057,3.4878,3.457,3.2529,3.3372,3.3927,2.8278,
Fall 2013,3.3057,3.04,3.1791,3.2945,3.3104,,3.3299,3.4374,3.4236,3.3449,,3.2031,3.2871,2.7397,
Spring 2014,3.3191,3.3095,3.3078,3.3355,3.421,3.1616,3.419,3.4699,3.4812,3.4764,,3.327,,3.2596,
