sorority,Spring 2005,Fall 2005,Spring 2006,Fall 2006,Spring 2007,Fall 2007,Spring 2008,Fall 2008,Spring 2009,Fall 2009,Spring 2010,Fall 2010,Spring 2011,Fall 2011,Spring 2012,Fall 2012,Spring 2013,Fall 2013,Spring 2014
Alpha Chi Omga,82,92,85,89,83,88,90,90,79,81,87,89,87,87,76,87,60,84,87
Alpha Kappa Alpha,13,10,8,10,12,10,9,6,6,,,,,,,23,23,17,26
Chi Omega,86,85,82,82,76,80,77,87,76,82,75,86,87,95,89,99,93,115,104
Delta Delta Delta,80,92,81,76,80,84,82,83,80,96,93,90,84,94,88,102,99,110,104
Delta Gamma,67,80,81,90,84,91,84,87,85,89,85,87,86,91,86,97,92,109,105
Delta Sigma Theta,16,12,12,6,10,6,11,7,14,11,11,6,12,6,6,5,5,,10
Gamma Phi Beta,86,78,83,86,81,88,82,90,85,89,83,90,88,91,83,103,93,110,107
Kappa Alpha Theta,88,84,78,87,84,89,1,91,89,90,83,92,89,88,93,98,93,110,107
Kappa Delta,89,82,85,87,85,88,79,86,87,93,86,88,85,93,86,99,97,109,105
Kappa Kappa Gamma,85,84,79,84,84,94,82,93,86,89,83,92,92,103,96,103,96,105,97
Phi Mu,68,68,81,64,68,73,81,84,84,79,87,73,76,49,47,45,45,,
Pi Beta Phi,85,89,81,88,81,78,86,88,81,87,88,84,83,92,85,98,89,105,97
Sigma Gamma Rho,,,,,,,,,,,,,5,5,6,3,3,2,2
Sigma Iota Alpha,,,,,,,,,,,,,,,,,9,9,11
Zeta Phi Beta,,,,,,,,,,,,,,,,,,,2
