Sororities,Spring 2005,Fall 2005,Spring 2006,Fall 2006,Spring 2007,Fall 2007,Spring 2008,Fall 2008,Spring 2009,Fall 2009,Spring 2010,Fall 2010,Spring 2011,Fall 2011,Spring 2012,Fall 2012,Spring 2013,Fall 2013,Spring 2014
Alpha Chi Omga,4,5,5,6,5,5,5,8,7,5,5,7,8,4,8,11,11,6,8
Alpha Kappa Alpha,11,11,12,11,11,11,11,9,12,,,,,,,13,13,11,9
Chi Omega,5,7,10,9,8,8,9,6,6,8,4,8,7,6,5,7,10,10,10
Delta Delta Delta,10,10,9,7,7,9,8,11,10,10,11,11,9,3,3,6,3,7,6
Delta Gamma,9,6,7,8,6,6,7,5,2,1,2,6,5,8,6,5,6,5,4
Delta Sigma Theta,12,12,11,12,12,12,12,12,11,4,8,1,12,12,12,10,7,,12
Gamma Phi Beta,1,1,3,1,1,3,2,1,1,2,1,5,4,7,7,4,5,4,5
Kappa Alpha Theta,3,3,4,2,2,1,1,3,5,6,6,4,2,1,1,2,1,1,3
Kappa Delta,2,2,1,3,3,2,4,2,3,3,3,2,1,2,2,3,2,2,1
Kappa Kappa Gamma,6,8,2,4,4,4,3,4,4,9,7,3,3,5,4,8,4,3,2
Phi Mu,7,4,7,5,10,7,6,7,9,7,9,9,11,10,10,12,12,,
Pi Beta Phi,8,8,6,10,9,10,10,10,8,11,10,10,10,9,9,9,9,9,7
Sigma Gamma Rho,,,,,,,,,,,,,6,11,11,1,8,8,14
Sigma Iota Alpha,,,,,,,,,,,,,,,,,14,12,11
Zeta Phi Beta,,,,,,,,,,,,,,,,,,,13
