Year,"First-time, first-year (freshman) Women (%)",Women Enrolled (freshman),Women who join a sorority (Freshman),Women who join a sorority (%),Women Enrolled (Undergrad),Women who join a sorority (Undergrad)
1997-1998,,,,30,3325,998
1998-1999,,,,30,3326,998
1999-2000,,,,29,3198,927
2000-2001,16,799,128,30,3186,956
2001-2002,,,,28,3171,888
2002-2003,,,,33,3190,1053
2003-2004,,,,34,3233,1099
2004-2005,,,,,,
2005-2006,,,,,,
2006-2007,18,710,128,27,3097,836
2007-2008,21,745,156,27,3118,842
2008-2009,19,801,152,27,3198,863
2009-2010,18,751,135,29,3175,921
2010-2011,17,805,137,28,3228,904
2011-2012,18,838,151,28,3316,928
2012-2013,22,819,180,30,3374,1012
2013-2014,24,838,201,30,3457,1037
